year,country,location,tests
1989,India,atmosphere,0
1989,India,underground,0
1989,North Korea,atmosphere,0
1989,North Korea,underground,0
1989,Pakistan,atmosphere,0
1989,Pakistan,underground,0
1989,Russia,atmosphere,0
1989,Russia,underground,7
1989,United Kingdom,atmosphere,0
1989,United Kingdom,underground,1
1989,United States,atmosphere,0
1989,United States,underground,11
1990,China,atmosphere,0
1990,China,underground,2
1990,France,atmosphere,0
1990,France,underground,6
1990,India,atmosphere,0
1990,India,underground,0
1990,North Korea,atmosphere,0
1990,North Korea,underground,0
1990,Pakistan,atmosphere,0
1990,Pakistan,underground,0
1990,Russia,atmosphere,0
1990,Russia,underground,1
1990,United Kingdom,atmosphere,0
1990,United Kingdom,underground,1
1990,United States,atmosphere,0
1990,United States,underground,8
1991,China,atmosphere,0
1991,China,underground,0
1991,France,atmosphere,0
1991,France,underground,6
1991,India,atmosphere,0
1991,India,underground,0
1991,North Korea,atmosphere,0
1991,North Korea,underground,0
1991,Pakistan,atmosphere,0
1991,Pakistan,underground,0
1991,Russia,atmosphere,0
1991,Russia,underground,0
1991,United Kingdom,atmosphere,0
1991,United Kingdom,underground,1
1991,United States,atmosphere,0
1991,United States,underground,7
1992,China,atmosphere,0
1992,China,underground,2
1992,France,atmosphere,0
1992,France,underground,0
1992,India,atmosphere,0
1992,India,underground,0
1992,North Korea,atmosphere,0
1992,North Korea,underground,0
1992,Pakistan,atmosphere,0
1992,Pakistan,underground,0
1992,Russia,atmosphere,0
1992,Russia,underground,0
1992,United Kingdom,atmosphere,0
1992,United Kingdom,underground,0
1992,United States,atmosphere,0
1992,United States,underground,6
1993,China,atmosphere,0
1993,China,underground,1
1993,France,atmosphere,0
1993,France,underground,0
1993,India,atmosphere,0
1993,India,underground,0
1993,North Korea,atmosphere,0
1993,North Korea,underground,0
1993,Pakistan,atmosphere,0
1993,Pakistan,underground,0
1993,Russia,atmosphere,0
1993,Russia,underground,0
1993,United Kingdom,atmosphere,0
1993,United Kingdom,underground,0
1993,United States,atmosphere,0
1993,United States,underground,0
1994,China,atmosphere,0
1994,China,underground,2
1994,France,atmosphere,0
1994,France,underground,0
1994,India,atmosphere,0
1994,India,underground,0
1994,North Korea,atmosphere,0
1994,North Korea,underground,0
1994,Pakistan,atmosphere,0
1994,Pakistan,underground,0
